bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
12950002,13000001,2083,2081,2,0,0.0009601536245799327,3047,7,0,0,253,77,64
13000002,13050001,2084,2081,3,0,0.0014395393474088292,3039,7,0,1,983,89,64
13050002,13100001,2083,2083,0,0,0.0,2990,7,0,0,247,89,64
13100002,13150001,2083,2081,2,0,0.0009601536245799327,3057,7,0,1,1207,87,64
13150002,13200001,2084,2083,1,0,0.0004798464491362764,3064,7,0,0,253,79,64
13200002,13250001,2083,2083,0,0,0.0,3044,7,0,0,253,83,64
13250002,13300001,2083,2083,0,0,0.0,3036,6,0,0,245,85,64
13300002,13350001,2084,2083,1,0,0.0004798464491362764,3050,7,0,0,253,85,64
13350002,13400001,2083,2083,0,0,0.0,3074,7,0,0,253,77,64
13400002,13450001,2083,2083,0,0,0.0,3010,7,0,0,253,85,64
13450002,13500001,2084,2084,0,0,0.0,3024,7,0,0,253,77,64
13500002,13550001,2083,2083,0,0,0.0,3012,7,0,0,251,93,64
13550002,13600001,2083,2083,0,0,0.0,3046,6,0,0,253,79,64
13600002,13650001,2084,2083,1,0,0.0004798464491362764,3065,7,0,0,253,87,64
13650002,13700001,2083,2083,0,0,0.0,3070,7,0,0,253,87,64
13700002,13750001,2083,2083,0,0,0.0,3044,7,0,0,253,87,64
13750002,13800001,2084,2083,1,0,0.0004798464491362764,3061,6,0,0,253,87,64
13800002,13850001,2083,2082,1,0,0.00048007681228996637,3058,7,0,0,251,85,64
13850002,13900001,2083,2081,2,0,0.0009601536245799327,3061,7,0,0,253,79,64
13900002,13950001,2084,2082,2,0,0.0009596928982725527,3044,6,0,0,253,85,64
13950002,14000001,2083,2082,1,0,0.00048007681228996637,2976,7,0,0,253,83,64
14000002,14050001,2083,2079,4,0,0.0019203072491598655,3021,7,0,0,253,93,64
14050002,14100001,2084,2084,0,0,0.0,3049,6,0,0,253,83,64
14100002,14150001,2083,2082,1,0,0.00048007681228996637,3056,7,0,0,253,77,64
14150002,14200001,2083,2080,3,0,0.0014402304368698992,2991,7,0,1,1255,87,64
14200002,14250001,2084,2083,1,0,0.0004798464491362764,3043,6,0,0,253,85,64
14250002,14300001,2083,2083,0,0,0.0,3056,7,0,0,253,87,64
14300002,14350001,2083,2083,0,0,0.0,3038,7,0,0,253,85,64
14350002,14400001,2084,2084,0,0,0.0,3110,6,0,0,253,74,64
14400002,14450001,2083,2082,1,0,0.00048007681228996637,3005,7,0,0,247,89,64
14450002,14500001,2083,2083,0,0,0.0,3010,6,0,0,247,87,64
14500002,14550001,2084,2084,0,0,0.0,3029,7,0,0,253,85,64
14550002,14600001,2083,2082,1,0,0.00048007681228996637,3066,6,0,0,253,83,64
14600002,14650001,2083,2082,1,0,0.00048007681228996637,2955,7,0,0,254,77,64
14650002,14700001,2084,2083,1,0,0.0004798464491362764,3060,7,0,0,253,89,64
14700002,14750001,2083,2083,0,0,0.0,3033,6,0,0,253,83,64
14750002,14800001,2083,2083,0,0,0.0,3053,7,0,0,253,89,64
14800002,14850001,2084,2084,0,0,0.0,3042,6,0,0,256,79,64
14850002,14900001,2083,2082,1,0,0.00048007681228996637,3001,7,0,0,253,89,64
14900002,14950001,2083,2083,0,0,0.0,3025,6,0,0,253,85,64
14950002,15000001,2084,2084,0,0,0.0,2984,6,0,0,250,83,64
15000002,15050001,2083,2082,1,0,0.00048007681228996637,3035,7,0,0,250,85,64
15050002,15100001,2083,2083,0,0,0.0,3022,6,0,0,253,80,64
15100002,15150001,2084,2083,1,0,0.0004798464491362764,3004,7,0,1,353,87,64
15150002,15200001,2083,2081,2,0,0.0009601536245799327,3011,6,0,0,253,77,64
15200002,15250001,2083,2083,0,0,0.0,3031,7,0,0,253,92,64
