bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
2900002,2950001,2083,2077,6,0,0.0028804608737397984,3345,15,5,1,569,85,64
2950002,3000001,2084,2080,4,0,0.0019193857965451055,3362,15,4,0,253,83,64
3000002,3050001,2083,2079,4,0,0.0019203072491598655,3320,14,3,1,253,82,64
3050002,3100001,2083,2080,3,0,0.0014402304368698992,3356,14,2,1,247,85,64
3100002,3150001,2084,2079,5,0,0.0023992322456813818,3344,14,5,0,253,83,64
3150002,3200001,2083,2078,5,0,0.002400384061449832,3373,14,4,1,253,87,64
3200002,3250001,2083,2081,2,0,0.0009601536245799327,3368,14,2,0,253,85,64
3250002,3300001,2084,2081,3,0,0.0014395393474088292,3324,14,3,0,251,74,64
3300002,3350001,2083,2081,2,0,0.0009601536245799327,3329,14,1,1,248,83,64
3350002,3400001,2083,2078,5,0,0.002400384061449832,3309,13,4,1,253,96,64
3400002,3450001,2084,2081,3,0,0.0014395393474088292,3370,14,2,1,247,83,64
3450002,3500001,2083,2076,7,0,0.003360537686029765,3241,13,5,1,250,79,64
3500002,3550001,2083,2076,7,0,0.003360537686029765,3262,14,6,1,253,87,64
3550002,3600001,2084,2080,4,0,0.0019193857965451055,3315,13,4,0,253,79,64
3600002,3650001,2083,2080,3,0,0.0014402304368698992,3337,13,3,0,253,79,64
3650002,3700001,2083,2081,2,0,0.0009601536245799327,3334,13,2,0,247,77,64
3700002,3750001,2084,2082,2,0,0.0009596928982725527,3320,13,1,1,253,89,64
3750002,3800001,2083,2078,5,0,0.002400384061449832,3269,13,4,1,249,85,64
3800002,3850001,2083,2078,5,0,0.002400384061449832,3335,13,5,0,255,77,64
3850002,3900001,2084,2082,2,0,0.0009596928982725527,3289,12,1,1,253,77,64
3900002,3950001,2083,2080,3,0,0.0014402304368698992,3310,13,2,1,253,83,64
3950002,4000001,2083,2078,5,0,0.002400384061449832,3225,13,4,1,253,89,64
4000002,4050001,2084,2080,4,0,0.0019193857965451055,3344,12,2,2,255,75,64
4050002,4100001,2083,2076,7,0,0.003360537686029765,3284,12,5,1,1075,89,64
4100002,4150001,2083,2078,5,0,0.002400384061449832,3236,13,4,1,253,85,64
4150002,4200001,2084,2079,5,0,0.0023992322456813818,3304,12,4,1,253,75,64
4200002,4250001,2083,2080,3,0,0.0014402304368698992,3269,12,2,1,254,83,64
4250002,4300001,2083,2079,4,0,0.0019203072491598655,3241,12,3,1,253,79,64
4300002,4350001,2084,2082,2,0,0.0009596928982725527,3260,12,1,1,277,79,64
4350002,4400001,2083,2079,4,0,0.0019203072491598655,3251,12,3,1,253,83,64
4400002,4450001,2083,2082,1,0,0.00048007681228996637,3331,12,0,1,247,77,64
4450002,4500001,2084,2081,3,0,0.0014395393474088292,3282,12,3,0,254,83,64
4500002,4550001,2083,2079,4,0,0.0019203072491598655,3216,12,3,1,253,79,64
4550002,4600001,2083,2080,3,0,0.0014402304368698992,3277,11,2,1,247,79,64
4600002,4650001,2084,2082,2,0,0.0009596928982725527,3265,12,1,1,717,85,64
4650002,4700001,2083,2078,5,0,0.002400384061449832,3258,11,4,1,256,86,64
4700002,4750001,2083,2080,3,0,0.0014402304368698992,3256,12,2,1,253,79,64
4750002,4800001,2084,2079,5,0,0.0023992322456813818,3219,11,5,0,256,77,64
4800002,4850001,2083,2078,5,0,0.002400384061449832,3255,12,5,0,253,89,64
4850002,4900001,2083,2079,4,0,0.0019203072491598655,3299,11,2,2,256,79,64
4900002,4950001,2084,2078,6,0,0.0028790786948176585,3242,11,4,1,253,93,64
4950002,5000001,2083,2081,2,0,0.0009601536245799327,3278,12,2,0,253,79,64
5000002,5050001,2083,2080,3,0,0.0014402304368698992,3202,11,1,2,745,79,64
5050002,5100001,2084,2083,1,0,0.0004798464491362764,3256,11,1,0,247,85,64
5100002,5150001,2083,2079,4,0,0.0019203072491598655,3227,11,2,2,254,83,64
5150002,5200001,2083,2077,6,0,0.0028804608737397984,3209,11,5,1,253,83,64
5200002,5250001,2084,2079,5,0,0.0023992322456813818,3278,11,2,2,253,79,64
5250002,5300001,2083,2077,6,0,0.0028804608737397984,3215,11,5,1,250,89,64
5300002,5350001,2083,2080,3,0,0.0014402304368698992,3231,11,2,1,247,79,64
5350002,5400001,2084,2082,2,0,0.0009596928982725527,3232,10,2,0,251,75,64
5400002,5450001,2083,2077,6,0,0.0028804608737397984,3211,11,5,1,250,83,64
5450002,5500001,2083,2076,7,0,0.003360537686029765,3226,11,5,2,253,83,64
5500002,5550001,2084,2079,5,0,0.0023992322456813818,3179,10,4,1,253,89,64
5550002,5600001,2083,2079,4,0,0.0019203072491598655,3223,11,3,1,785,77,64
5600002,5650001,2083,2082,1,0,0.00048007681228996637,3176,10,1,0,247,87,64
5650002,5700001,2084,2079,5,0,0.0023992322456813818,3228,11,3,1,253,87,64
5700002,5750001,2083,2080,3,0,0.0014402304368698992,3220,10,3,0,253,79,64
5750002,5800001,2083,2080,3,0,0.0014402304368698992,3167,11,3,0,253,85,64
5800002,5850001,2084,2080,4,0,0.0019193857965451055,3211,10,3,1,253,77,64
5850002,5900001,2083,2078,5,0,0.002400384061449832,3225,10,4,1,253,87,64
5900002,5950001,2083,2080,3,0,0.0014402304368698992,3243,11,3,0,253,83,64
5950002,6000001,2084,2083,1,0,0.0004798464491362764,3177,10,1,0,256,83,64
6000002,6050001,2083,2079,4,0,0.0019203072491598655,3191,10,4,0,507,83,64
6050002,6100001,2083,2078,5,0,0.002400384061449832,3207,10,4,1,250,79,64
6100002,6150001,2084,2080,4,0,0.0019193857965451055,3202,10,0,2,825,85,64
6150002,6200001,2083,2081,2,0,0.0009601536245799327,3199,10,2,0,253,89,64
6200002,6250001,2083,2078,5,0,0.002400384061449832,3168,11,4,0,253,83,64
6250002,6300001,2084,2078,6,0,0.0028790786948176585,3257,9,5,0,253,86,64
6300002,6350001,2083,2080,3,0,0.0014402304368698992,3192,10,2,0,253,87,64
6350002,6400001,2083,2080,3,0,0.0014402304368698992,3145,10,2,1,253,79,64
6400002,6450001,2084,2080,4,0,0.0019193857965451055,3152,10,3,1,247,83,64
6450002,6500001,2083,2078,5,0,0.002400384061449832,3195,10,3,2,253,85,64
6500002,6550001,2083,2080,3,0,0.0014402304368698992,3199,10,3,0,253,79,64
6550002,6600001,2084,2083,1,0,0.0004798464491362764,3204,10,1,0,253,87,64
6600002,6650001,2083,2082,1,0,0.00048007681228996637,3177,9,1,0,254,83,64
6650002,6700001,2083,2079,4,0,0.0019203072491598655,3160,10,3,1,859,79,64
6700002,6750001,2084,2082,2,0,0.0009596928982725527,3211,10,1,1,253,89,64
6750002,6800001,2083,2083,0,0,0.0,3164,9,0,0,250,79,8
6800002,6850001,2083,2078,5,0,0.002400384061449832,3183,10,4,1,254,85,64
6850002,6900001,2084,2079,5,0,0.0023992322456813818,3229,9,5,0,253,83,64
6900002,6950001,2083,2082,1,0,0.00048007681228996637,3186,10,1,0,254,83,64
6950002,7000001,2083,2080,3,0,0.0014402304368698992,3178,9,2,0,253,87,64
7000002,7050001,2084,2082,2,0,0.0009596928982725527,3216,10,1,0,253,85,64
7050002,7100001,2083,2077,6,0,0.0028804608737397984,3151,9,3,2,248,85,64
7100002,7150001,2083,2077,6,0,0.0028804608737397984,3152,9,5,1,253,87,64
7150002,7200001,2084,2078,6,0,0.0028790786948176585,3152,10,3,2,731,87,64
7200002,7250001,2083,2080,3,0,0.0014402304368698992,3175,9,3,0,253,89,64
7250002,7300001,2083,2077,6,0,0.0028804608737397984,3173,9,4,2,253,79,64
7300002,7350001,2084,2077,7,0,0.0033589251439539347,3130,10,5,1,253,83,64
7350002,7400001,2083,2078,5,0,0.002400384061449832,3165,9,2,2,253,85,64
7400002,7450001,2083,2079,4,0,0.0019203072491598655,3185,9,3,1,253,77,64
